% Contained,Acres,Name,current_as_of,lat,lng
 80%,77758 ,Kincade Fire,7:13am,38.792458,-122.780053
 80%,9412 ,Maria Fire ,7:22am,34.302212,-118.997115
 15%,600 ,Ranch Fire,10:36am,40.03511,-122.6376
 0%,35 ,Sobrante Fire ,11/01/2019,33.849906,-117.461363
%,Not a CAL FIRE Incident,Getty Fire ,10/28/2019,34.098191,-118.478717
 97%,8799 ,Saddle Ridge Fire,11/01/2019,34.32988,-118.48161
%,Not a CAL FIRE Incident,Hillside Fire,11/01/2019,34.183,-117.285
