% Contained,Acres,Name,current_as_of,lat,lng
 76%,77758 ,Kincade Fire,7:30am,38.792458,-122.780053
 50%,9412 ,Maria Fire ,7:09am,34.302212,-118.997115
 98%,703 ,Burris Fire,7:07am,39.22431,-123.12887
 95%,328 ,46 Fire,7:17am,33.985972,-117.414111
 0%,35 ,Sobrante Fire ,11/01/2019,33.849906,-117.461363
%,Not a CAL FIRE Incident,Getty Fire ,10/28/2019,34.098191,-118.478717
 97%,8799 ,Saddle Ridge Fire,11/01/2019,34.32988,-118.48161
