% Contained,Acres,Name,current_as_of,lat,lng
 70%,77758 ,Kincade Fire,7:36pm,38.792458,-122.780053
 0%,9412 ,Maria Fire ,7:17pm,34.302212,-118.997115
 80%,1806 ,Easy Fire,7:40pm,34.282179,-118.803389
 95%,703 ,Burris Fire,7:11pm,39.22431,-123.12887
 95%,628 ,Hill Fire ,7:13pm,34.01778,-117.4625
 85%,300 ,46 Fire,7:21pm,33.985972,-117.414111
 0%,35 ,Sobrante Fire ,1:20pm,33.849906,-117.461363
%,Not a CAL FIRE Incident,Getty Fire ,10/28/2019,34.098191,-118.478717
